"description","value","TestID","R.Time","Matlab.Time"
"Recording.ID","CAPTIVE_1yr-juvenile","test12_Wednesday",NA,NA
"Test.Number","12","test12_Wednesday",NA,NA
"Deployment","1","test12_Wednesday",NA,NA
"Seal.Number","12","test12_Wednesday",NA,NA
"Sex","F","test12_Wednesday",NA,NA
"Version","V1","test12_Wednesday",NA,NA
"Age","(0,1]","test12_Wednesday",NA,NA
"Age.Estimate","~0.8 years old","test12_Wednesday",NA,NA
"Seal.ID","E645","test12_Wednesday",NA,NA
"Pressed.Start.Logger","10/25/2019 08:20:50","test12_Wednesday",2019-10-25 08:20:50,2019-10-25 08:20:50
"Logger.Start","10/25/2019 08:21:02","test12_Wednesday",2019-10-25 08:21:02,2019-10-25 08:21:02
"Start.for.EDF.Files","10/25/2019 08:21:03.000","test12_Wednesday",2019-10-25 08:21:03,2019-10-25 08:21:03
"Duration_ON_ANIMAL_h","81.86","test12_Wednesday",NA,NA
"ON.ANIMAL","10/25/2019 14:45:22","test12_Wednesday",2019-10-25 14:45:22,2019-10-25 14:45:22
"Capture_ANO_InitialStick","10/24/2019 17:33:15","test12_Wednesday",2019-10-24 17:33:15,2019-10-24 17:33:15
"Capture_ANO_LastDose","10/24/2019 17:58:41","test12_Wednesday",2019-10-24 17:58:41,2019-10-24 17:58:41
"Attachment_InitialStick","10/25/2019 13:38:21","test12_Wednesday",2019-10-25 13:38:21,2019-10-25 13:38:21
"Attachment_LastDose","10/25/2019 14:46:15","test12_Wednesday",2019-10-25 14:46:15,2019-10-25 14:46:15
"Removal_InitialStick","10/29/2019 15:08:00","test12_Wednesday",2019-10-29 15:08:00,2019-10-29 15:08:00
"Removal_LastDose","10/29/2019 15:41:00","test12_Wednesday",2019-10-29 15:41:00,2019-10-29 15:41:00
"Electrodes.unplugged.from.logger_recorded.time","not recorded - off","test12_Wednesday",NA,NA
"Logger.Stop","not recorded - off","test12_Wednesday",NA,NA
"Actual.Start.Time_CATS.toolbox","10/25/2019 08:21:03.000","test12_Wednesday",2019-10-25 08:21:03,2019-10-25 08:21:03
"Logger.Used","L2","test12_Wednesday",NA,NA
"SD.Card.Used","2","test12_Wednesday",NA,NA
"Configuration.Notes","no real time clock, channel configuration ""normal""","test12_Wednesday",NA,NA
"Restarts.Present","Yes","test12_Wednesday",NA,NA
"Number.of.Restarts","13","test12_Wednesday",NA,NA
"X.factor.per.restart","0","test12_Wednesday",NA,NA
"First.Restart.Seconds.Elapsed","78400.588","test12_Wednesday",NA,NA
"Last.Restart.Seconds.Elapsed","278062.4055","test12_Wednesday",NA,NA
"First.Restart.Time","10/26/2019 06:07:42.588","test12_Wednesday",2019-10-26 06:07:42,2019-10-26 06:07:42
"Last.Restart.Time","10/28/2019 13:35:24.405","test12_Wednesday",2019-10-28 13:35:24,2019-10-28 13:35:24
"Device.Failure","Yes","test12_Wednesday",NA,NA
"Mass.with.cage_kg","200","test12_Wednesday",NA,NA
"Mass.cage_kg","82","test12_Wednesday",NA,NA
"Mass.animal._kg","118","test12_Wednesday",NA,NA
"Flipper.Tag.1","GE645","test12_Wednesday",NA,NA
"Position","L-ou-Si","test12_Wednesday",NA,NA
"Flipper.Tag.2","GG734","test12_Wednesday",NA,NA
"Position.1","R-iu-So","test12_Wednesday",NA,NA
"Mark","No Mark","test12_Wednesday",NA,NA
"Mark.Position","No Mark","test12_Wednesday",NA,NA
"Birth.date","probably in 2019","test12_Wednesday",NA,NA
"Wean.date","unknown","test12_Wednesday",NA,NA
