Channel,Number,Time,Date,Comment,Date_Time,Seal_ID,Seconds.in.File,Channel_clean,Seconds,,,,,,,,,,
1,3935,14:45:22,10/25/2019,Instrument ON Animal,10/25/2019 14:45:22,test12_Wednesday,0,All,0,,,,,,,,,,
17,3936,14:45:22,10/25/2019,First Breath,10/25/2019 14:45:22,test12_Wednesday,0,All,0,,,,,,,,,,
*,3937,14:45:22,10/25/2019,MVMT (from calm),10/25/2019 14:45:22,test12_Wednesday,0,All,0,,,,,,,,,,
17,410,15:26:26,10/25/2019,First Breath,10/25/2019 15:26:26,test12_Wednesday,2464.4,All,2464.4,,,,,,,,,,
*,408,15:26:27,10/25/2019,CALM (from motion),10/25/2019 15:26:27,test12_Wednesday,2464.8,All,2464.8,,,,,,,,,,
*,409,15:30:24,10/25/2019,MVMT (from calm),10/25/2019 15:30:24,test12_Wednesday,2701.6,All,2701.6,,,,,,,,,,
*,417,15:37:10,10/25/2019,CALM (from motion),10/25/2019 15:37:10,test12_Wednesday,3107.6,All,3107.6,,,,,,,,,,
*,418,15:38:32,10/25/2019,MVMT (from calm),10/25/2019 15:38:32,test12_Wednesday,3190,All,3190,,,,,,,,,,
*,415,15:39:32,10/25/2019,CALM (from motion),10/25/2019 15:39:32,test12_Wednesday,3250,All,3250,,,,,,,,,,
*,416,15:40:47,10/25/2019,MVMT (from calm),10/25/2019 15:40:47,test12_Wednesday,3325.2,All,3325.2,,,,,,,,,,
*,419,15:43:20,10/25/2019,CALM (from motion),10/25/2019 15:43:20,test12_Wednesday,3478,All,3478,,,,,,,,,,
*,420,15:45:17,10/25/2019,MVMT (from calm),10/25/2019 15:45:17,test12_Wednesday,3594.8,All,3594.8,,,,,,,,,,
*,421,15:47:04,10/25/2019,CALM (from motion),10/25/2019 15:47:04,test12_Wednesday,3702,All,3702,,,,,,,,,,
17,411,15:47:48,10/25/2019,Last Breath,10/25/2019 15:47:48,test12_Wednesday,3746.4,All,3746.4,,,,,,,,,,
17,412,15:48:04,10/25/2019,APNEA,10/25/2019 15:48:04,test12_Wednesday,3762.4,All,3762.4,,,,,,,,,,
17,413,15:51:00,10/25/2019,Anticipatory HR Increase,10/25/2019 15:51:00,test12_Wednesday,3937.6,All,3937.6,,,,,,,,,,
*,422,15:51:22,10/25/2019,MVMT (from calm),10/25/2019 15:51:22,test12_Wednesday,3960,All,3960,,,,,,,,,,
17,414,15:51:26,10/25/2019,First Breath,10/25/2019 15:51:26,test12_Wednesday,3964,All,3964,,,,,,,,,,
*,1503,15:59:44,10/25/2019,CALM (from motion),10/25/2019 15:59:44,test12_Wednesday,4462.4,All,4462.4,,,,,,,,,,
*,1504,16:00:30,10/25/2019,MVMT (from calm),10/25/2019 16:00:30,test12_Wednesday,4508.4,All,4508.4,,,,,,,,,,
17,423,16:02:47,10/25/2019,Last Breath,10/25/2019 16:02:47,test12_Wednesday,4644.8,All,4644.8,,,,,,,,,,
*,427,16:02:59,10/25/2019,CALM (from motion),10/25/2019 16:02:59,test12_Wednesday,4656.8,All,4656.8,,,,,,,,,,
17,424,16:03:20,10/25/2019,APNEA,10/25/2019 16:03:20,test12_Wednesday,4678.4,All,4678.4,,,,,,,,,,
*,1507,16:03:41,10/25/2019,SWS1,10/25/2019 16:03:41,test12_Wednesday,4699.4,All,4699.4,,,,,,,,,,
*,1508,16:03:52,10/25/2019,WAKE (from sleep),10/25/2019 16:03:52,test12_Wednesday,4710.2,All,4710.2,,,,,,,,,,
*,1505,16:05:33,10/25/2019,SWS1,10/25/2019 16:05:33,test12_Wednesday,4811.4,All,4811.4,,,,,,,,,,
*,1506,16:05:45,10/25/2019,WAKE (from sleep),10/25/2019 16:05:45,test12_Wednesday,4822.52,All,4822.52,,,,,,,,,,
*,1509,16:06:30,10/25/2019,SWS1,10/25/2019 16:06:30,test12_Wednesday,4867.6,All,4867.6,,,,,,,,,,
*,1510,16:07:00,10/25/2019,WAKE (from sleep),10/25/2019 16:07:00,test12_Wednesday,4898,All,4898,,,,,,,,,,
17,425,16:07:27,10/25/2019,Anticipatory HR Increase,10/25/2019 16:07:27,test12_Wednesday,4924.8,All,4924.8,,,,,,,,,,
*,428,16:07:30,10/25/2019,MVMT (from calm),10/25/2019 16:07:30,test12_Wednesday,4927.6,All,4927.6,,,,,,,,,,
*,429,16:07:44,10/25/2019,CALM (from motion),10/25/2019 16:07:44,test12_Wednesday,4942.4,All,4942.4,,,,,,,,,,
17,426,16:07:49,10/25/2019,First Breath,10/25/2019 16:07:49,test12_Wednesday,4947.2,All,4947.2,,,,,,,,,,
*,430,16:09:15,10/25/2019,MVMT (from calm),10/25/2019 16:09:15,test12_Wednesday,5032.8,All,5032.8,,,,,,,,,,
*,431,16:11:48,10/25/2019,CALM (from motion),10/25/2019 16:11:48,test12_Wednesday,5185.6,All,5185.6,,,,,,,,,,
17,432,16:11:57,10/25/2019,Last Breath,10/25/2019 16:11:57,test12_Wednesday,5194.8,All,5194.8,,,,,,,,,,
17,433,16:12:02,10/25/2019,APNEA,10/25/2019 16:12:02,test12_Wednesday,5199.6,All,5199.6,,,,,,,,,,
*,435,16:14:43,10/25/2019,MVMT (from calm),10/25/2019 16:14:43,test12_Wednesday,5361.2,All,5361.2,,,,,,,,,,
*,436,16:14:51,10/25/2019,CALM (from motion),10/25/2019 16:14:51,test12_Wednesday,5369.2,All,5369.2,,,,,,,,,,
17,434,16:16:45,10/25/2019,Anticipatory HR Increase,10/25/2019 16:16:45,test12_Wednesday,5482.8,All,5482.8,,,,,,,,,,
17,437,16:16:53,10/25/2019,First Breath,10/25/2019 16:16:53,test12_Wednesday,5490.8,All,5490.8,,,,,,,,,,
*,440,16:16:59,10/25/2019,MVMT (from calm),10/25/2019 16:16:59,test12_Wednesday,5497.2,All,5497.2,,,,,,,,,,
*,1511,16:17:10,10/25/2019,CALM (from motion),10/25/2019 16:17:10,test12_Wednesday,5508,All,5508,,,,,,,,,,
*,1512,16:17:58,10/25/2019,MVMT (from calm),10/25/2019 16:17:58,test12_Wednesday,5555.6,All,5555.6,,,,,,,,,,
*,441,16:19:55,10/25/2019,CALM (from motion),10/25/2019 16:19:55,test12_Wednesday,5673.2,All,5673.2,,,,,,,,,,
17,438,16:20:04,10/25/2019,Last Breath,10/25/2019 16:20:04,test12_Wednesday,5682,All,5682,,,,,,,,,,
17,439,16:20:14,10/25/2019,APNEA,10/25/2019 16:20:14,test12_Wednesday,5692.4,All,5692.4,,,,,,,,,,
*,442,16:21:46,10/25/2019,SWS1,10/25/2019 16:21:46,test12_Wednesday,5784.34,All,5784.34,,,,,,,,,,
*,1513,16:22:03,10/25/2019,WAKE (from sleep),10/25/2019 16:22:03,test12_Wednesday,5801,All,5801,,,,,,,,,,
*,1514,16:23:14,10/25/2019,SWS1,10/25/2019 16:23:14,test12_Wednesday,5872,All,5872,,,,,,,,,,
*,443,16:24:19,10/25/2019,JOLT (from sleep),10/25/2019 16:24:19,test12_Wednesday,5936.98,All,5936.98,,,,,,,,,,
*,444,16:24:25,10/25/2019,CALM (from motion),10/25/2019 16:24:25,test12_Wednesday,5943.3,All,5943.3,,,,,,,,,,
17,446,16:25:04,10/25/2019,Anticipatory HR Increase,10/25/2019 16:25:04,test12_Wednesday,5981.8,All,5981.8,,,,,,,,,,
17,445,16:25:15,10/25/2019,First Breath,10/25/2019 16:25:15,test12_Wednesday,5992.6,All,5992.6,,,,,,,,,,
*,447,16:26:43,10/25/2019,MVMT (from calm),10/25/2019 16:26:43,test12_Wednesday,6081.2,All,6081.2,,,,,,,,,,
*,448,16:27:10,10/25/2019,CALM (from motion),10/25/2019 16:27:10,test12_Wednesday,6108.4,All,6108.4,,,,,,,,,,
17,449,16:27:12,10/25/2019,Last Breath,10/25/2019 16:27:12,test12_Wednesday,6110.2,All,6110.2,,,,,,,,,,
*,450,16:27:30,10/25/2019,SWS1,10/25/2019 16:27:30,test12_Wednesday,6128.14,All,6128.14,,,,,,,,,,
*,1519,16:28:41,10/25/2019,JOLT (from sleep),10/25/2019 16:28:41,test12_Wednesday,6198.8,All,6198.8,,,,,,,,,,
3,451,16:28:48,10/25/2019,Eye Movement,10/25/2019 16:28:48,test12_Wednesday,6206.12,All,6206.12,,,,,,,,,,
*,1516,16:28:54,10/25/2019,CALM (from motion),10/25/2019 16:28:54,test12_Wednesday,6211.8,All,6211.8,,,,,,,,,,
*,1517,16:29:16,10/25/2019,MVMT (from calm),10/25/2019 16:29:16,test12_Wednesday,6234,All,6234,,,,,,,,,,
3,452,16:29:20,10/25/2019,Eye Movement,10/25/2019 16:29:20,test12_Wednesday,6237.84,All,6237.84,,,,,,,,,,
*,1518,16:29:25,10/25/2019,CALM (from motion),10/25/2019 16:29:25,test12_Wednesday,6243.4,All,6243.4,,,,,,,,,,
17,454,16:29:57,10/25/2019,Anticipatory HR Increase,10/25/2019 16:29:57,test12_Wednesday,6274.6,All,6274.6,,,,,,,,,,
17,455,16:30:07,10/25/2019,First Breath,10/25/2019 16:30:07,test12_Wednesday,6284.6,All,6284.6,,,,,,,,,,
*,456,16:30:08,10/25/2019,MVMT (from calm),10/25/2019 16:30:08,test12_Wednesday,6285.6,All,6285.6,,,,,,,,,,
*,457,16:38:01,10/25/2019,CALM (from motion),10/25/2019 16:38:01,test12_Wednesday,6758.8,All,6758.8,,,,,,,,,,
*,1520,16:39:24,10/25/2019,MVMT (from calm),10/25/2019 16:39:24,test12_Wednesday,6842.4,All,6842.4,,,,,,,,,,
*,1521,16:40:07,10/25/2019,CALM (from motion),10/25/2019 16:40:07,test12_Wednesday,6885,All,6885,,,,,,,,,,
17,458,16:41:06,10/25/2019,Last Breath,10/25/2019 16:41:06,test12_Wednesday,6944.4,All,6944.4,,,,,,,,,,
17,459,16:41:12,10/25/2019,APNEA,10/25/2019 16:41:12,test12_Wednesday,6949.9,All,6949.9,,,,,,,,,,
*,460,16:41:57,10/25/2019,SWS1,10/25/2019 16:41:57,test12_Wednesday,6995.48,All,6995.48,,,,,,,,,,
*,1522,16:44:07,10/25/2019,SWS2,10/25/2019 16:44:06,test12_Wednesday,7124.5,All,7124.5,,,,,,,,,,
*,1523,16:45:56,10/25/2019,SWS1,10/25/2019 16:45:56,test12_Wednesday,7234,All,7234,,,,,,,,,,
*,1524,16:46:49,10/25/2019,REM1,10/25/2019 16:46:49,test12_Wednesday,7287.4,All,7287.4,,,,,,,,,,
*,461,16:47:33,10/25/2019,REM2,10/25/2019 16:47:33,test12_Wednesday,7330.9,All,7330.9,,,,,,,,,,
*,462,16:48:34,10/25/2019,WAKE (from sleep),10/25/2019 16:48:34,test12_Wednesday,7392.2,All,7392.2,,,,,,,,,,
17,463,16:48:36,10/25/2019,Anticipatory HR Increase,10/25/2019 16:48:36,test12_Wednesday,7394.2,All,7394.2,,,,,,,,,,
17,464,16:48:55,10/25/2019,First Breath,10/25/2019 16:48:55,test12_Wednesday,7413.1,All,7413.1,,,,,,,,,,
*,465,16:51:08,10/25/2019,MVMT (from calm),10/25/2019 16:51:08,test12_Wednesday,7546.1,All,7546.1,,,,,,,,,,
*,466,16:51:17,10/25/2019,CALM (from motion),10/25/2019 16:51:17,test12_Wednesday,7554.6,All,7554.6,,,,,,,,,,
*,467,16:51:59,10/25/2019,MVMT (from calm),10/25/2019 16:51:59,test12_Wednesday,7597.1,All,7597.1,,,,,,,,,,
*,468,17:01:10,10/25/2019,CALM (from motion),10/25/2019 17:01:10,test12_Wednesday,8148.2,All,8148.2,,,,,,,,,,
*,469,17:02:06,10/25/2019,MVMT (from calm),10/25/2019 17:02:06,test12_Wednesday,8204.5,All,8204.5,,,,,,,,,,
*,470,17:05:28,10/25/2019,CALM (from motion),10/25/2019 17:05:28,test12_Wednesday,8405.9,All,8405.9,,,,,,,,,,
17,471,17:06:40,10/25/2019,Last Breath,10/25/2019 17:06:40,test12_Wednesday,8477.5,All,8477.5,,,,,,,,,,
17,472,17:07:03,10/25/2019,APNEA,10/25/2019 17:07:03,test12_Wednesday,8500.8,All,8500.8,,,,,,,,,,
*,1525,17:08:23,10/25/2019,LS (light sleep),10/25/2019 17:08:23,test12_Wednesday,8581,All,8581,,,,,,,,,,
17,473,17:10:12,10/25/2019,Anticipatory HR Increase,10/25/2019 17:10:12,test12_Wednesday,8689.6,All,8689.6,,,,,,,,,,
*,1526,17:10:25,10/25/2019,WAKE (from sleep),10/25/2019 17:10:25,test12_Wednesday,8702.8,All,8702.8,,,,,,,,,,
17,474,17:10:29,10/25/2019,First Breath,10/25/2019 17:10:29,test12_Wednesday,8706.9,All,8706.9,,,,,,,,,,
*,475,17:11:31,10/25/2019,MVMT (from calm),10/25/2019 17:11:31,test12_Wednesday,8769.3,All,8769.3,,,,,,,,,,
*,476,17:13:38,10/25/2019,CALM (from motion),10/25/2019 17:13:38,test12_Wednesday,8896.2,All,8896.2,,,,,,,,,,
17,477,17:14:08,10/25/2019,Last Breath,10/25/2019 17:14:08,test12_Wednesday,8925.9,All,8925.9,,,,,,,,,,
17,478,17:14:38,10/25/2019,APNEA,10/25/2019 17:14:38,test12_Wednesday,8956.05,All,8956.05,,,,,,,,,,
17,479,17:16:05,10/25/2019,Anticipatory HR Increase,10/25/2019 17:16:05,test12_Wednesday,9043.3,All,9043.3,,,,,,,,,,
17,480,17:16:20,10/25/2019,First Breath,10/25/2019 17:16:20,test12_Wednesday,9058.3,All,9058.3,,,,,,,,,,
*,481,17:17:08,10/25/2019,MVMT (from calm),10/25/2019 17:17:08,test12_Wednesday,9106.4,All,9106.4,,,,,,,,,,
17,482,17:18:42,10/25/2019,Last Breath,10/25/2019 17:18:42,test12_Wednesday,9199.6,All,9199.6,,,,,,,,,,
17,483,17:19:21,10/25/2019,APNEA,10/25/2019 17:19:21,test12_Wednesday,9239.1,All,9239.1,,,,,,,,,,
*,486,17:19:38,10/25/2019,CALM (from motion),10/25/2019 17:19:38,test12_Wednesday,9256,All,9256,,,,,,,,,,
*,487,17:20:21,10/25/2019,MVMT (from calm),10/25/2019 17:20:21,test12_Wednesday,9298.6,All,9298.6,,,,,,,,,,
17,484,17:21:57,10/25/2019,Anticipatory HR Increase,10/25/2019 17:21:57,test12_Wednesday,9395.5,All,9395.5,,,,,,,,,,
17,485,17:22:07,10/25/2019,APNEA,10/25/2019 17:22:06,test12_Wednesday,9404.5,All,9404.5,,,,,,,,,,
*,488,17:26:42,10/25/2019,CALM (from motion),10/25/2019 17:26:42,test12_Wednesday,9679.6,All,9679.6,,,,,,,,,,
17,489,17:26:44,10/25/2019,Last Breath,10/25/2019 17:26:44,test12_Wednesday,9682.1,All,9682.1,,,,,,,,,,
17,490,17:26:55,10/25/2019,APNEA,10/25/2019 17:26:55,test12_Wednesday,9693.1,All,9693.1,,,,,,,,,,
*,491,17:27:53,10/25/2019,SWS1,10/25/2019 17:27:53,test12_Wednesday,9751,All,9751,,,,,,,,,,
*,492,17:28:48,10/25/2019,SWS2,10/25/2019 17:28:48,test12_Wednesday,9805.6,All,9805.6,,,,,,,,,,
*,493,17:30:04,10/25/2019,SWS1,10/25/2019 17:30:04,test12_Wednesday,9882.5,All,9882.5,,,,,,,,,,
*,494,17:31:01,10/25/2019,REM1,10/25/2019 17:31:01,test12_Wednesday,9939.5,All,9939.5,,,,,,,,,,
*,495,17:33:04,10/25/2019,SWS1,10/25/2019 17:33:04,test12_Wednesday,10061.84,All,10061.84,,,,,,,,,,
*,496,17:33:44,10/25/2019,SWS2,10/25/2019 17:33:44,test12_Wednesday,10102.2,All,10102.2,,,,,,,,,,
17,497,17:34:50,10/25/2019,Anticipatory HR Increase,10/25/2019 17:34:50,test12_Wednesday,10168,All,10168,,,,,,,,,,
*,501,17:35:02,10/25/2019,SWS1,10/25/2019 17:35:02,test12_Wednesday,10180.3,All,10180.3,,,,,,,,,,
17,498,17:35:05,10/25/2019,First Breath,10/25/2019 17:35:05,test12_Wednesday,10182.8,All,10182.8,,,,,,,,,,
17,499,17:38:40,10/25/2019,Last Breath,10/25/2019 17:38:40,test12_Wednesday,10397.7,All,10397.7,,,,,,,,,,
*,502,17:38:41,10/25/2019,WAKE (from sleep),10/25/2019 17:38:41,test12_Wednesday,10398.8,All,10398.8,,,,,,,,,,
17,500,17:38:58,10/25/2019,APNEA,10/25/2019 17:38:58,test12_Wednesday,10415.6,All,10415.6,,,,,,,,,,
*,503,17:39:33,10/25/2019,SWS1,10/25/2019 17:39:33,test12_Wednesday,10450.56,All,10450.56,,,,,,,,,,
*,504,17:40:08,10/25/2019,SWS2,10/25/2019 17:40:08,test12_Wednesday,10486,All,10486,,,,,,,,,,
17,505,17:52:06,10/25/2019,Anticipatory HR Increase,10/25/2019 17:52:06,test12_Wednesday,11204.3,All,11204.3,,,,,,,,,,
17,506,17:52:13,10/25/2019,First Breath,10/25/2019 17:52:13,test12_Wednesday,11211.1,All,11211.1,,,,,,,,,,
*,508,17:52:35,10/25/2019,JOLT (from sleep),10/25/2019 17:52:35,test12_Wednesday,11233,All,11233,,,,,,,,,,
*,507,17:52:52,10/25/2019,WAKE (from sleep),10/25/2019 17:52:52,test12_Wednesday,11250,All,11250,,,,,,,,,,
*,509,17:53:10,10/25/2019,MVMT (from calm),10/25/2019 17:53:10,test12_Wednesday,11268,All,11268,,,,,,,,,,
17,511,18:03:25,10/25/2019,Last Breath,10/25/2019 18:03:25,test12_Wednesday,11883,All,11883,,,,,,,,,,
*,510,18:04:32,10/25/2019,CALM (from motion),10/25/2019 18:04:32,test12_Wednesday,11949.9,All,11949.9,,,,,,,,,,
17,512,18:04:48,10/25/2019,APNEA,10/25/2019 18:04:48,test12_Wednesday,11965.8,All,11965.8,,,,,,,,,,
*,344,18:06:11,10/25/2019,SWS1,10/25/2019 18:06:11,test12_Wednesday,12048.9,All,12048.9,,,,,,,,,,
*,513,18:09:10,10/25/2019,REM1,10/25/2019 18:09:10,test12_Wednesday,12227.6,All,12227.6,,,,,,,,,,
*,514,18:09:54,10/25/2019,REM2,10/25/2019 18:09:54,test12_Wednesday,12271.8,All,12271.8,,,,,,,,,,
*,515,18:12:39,10/25/2019,JOLT (from sleep),10/25/2019 18:12:39,test12_Wednesday,12436.8,All,12436.8,,,,,,,,,,
*,516,18:12:50,10/25/2019,REM2,10/25/2019 18:12:50,test12_Wednesday,12447.8,All,12447.8,,,,,,,,,,
*,517,18:13:15,10/25/2019,JOLT (from sleep),10/25/2019 18:13:15,test12_Wednesday,12473,All,12473,,,,,,,,,,
*,518,18:13:28,10/25/2019,REM2,10/25/2019 18:13:28,test12_Wednesday,12486,All,12486,,,,,,,,,,
*,521,18:15:18,10/25/2019,SWS1,10/25/2019 18:15:18,test12_Wednesday,12596.2,All,12596.2,,,,,,,,,,
17,519,18:15:58,10/25/2019,Anticipatory HR Increase,10/25/2019 18:15:58,test12_Wednesday,12635.6,All,12635.6,,,,,,,,,,
17,520,18:16:07,10/25/2019,First Breath,10/25/2019 18:16:07,test12_Wednesday,12644.8,All,12644.8,,,,,,,,,,
*,1527,18:16:13,10/25/2019,WAKE (from sleep),10/25/2019 18:16:13,test12_Wednesday,12651.2,All,12651.2,,,,,,,,,,
*,1528,18:17:53,10/25/2019,SWS1,10/25/2019 18:17:53,test12_Wednesday,12750.68,All,12750.68,,,,,,,,,,
17,523,18:19:14,10/25/2019,Last Breath,10/25/2019 18:19:14,test12_Wednesday,12831.8,All,12831.8,,,,,,,,,,
17,524,18:19:47,10/25/2019,APNEA,10/25/2019 18:19:47,test12_Wednesday,12865.4,All,12865.4,,,,,,,,,,
*,522,18:20:13,10/25/2019,SWS2,10/25/2019 18:20:13,test12_Wednesday,12890.56,All,12890.56,,,,,,,,,,
17,525,18:32:18,10/25/2019,Anticipatory HR Increase,10/25/2019 18:32:18,test12_Wednesday,13616.2,All,13616.2,,,,,,,,,,
*,528,18:32:33,10/25/2019,SWS1,10/25/2019 18:32:33,test12_Wednesday,13631,All,13631,,,,,,,,,,
17,526,18:32:35,10/25/2019,First Breath,10/25/2019 18:32:35,test12_Wednesday,13632.6,All,13632.6,,,,,,,,,,
*,529,18:35:54,10/25/2019,JOLT (from sleep),10/25/2019 18:35:54,test12_Wednesday,13832,All,13832,,,,,,,,,,
*,530,18:36:13,10/25/2019,SWS1,10/25/2019 18:36:13,test12_Wednesday,13851,All,13851,,,,,,,,,,
17,527,18:37:12,10/25/2019,Last Breath,10/25/2019 18:37:12,test12_Wednesday,13909.6,All,13909.6,,,,,,,,,,
*,531,18:37:57,10/25/2019,SWS2,10/25/2019 18:37:57,test12_Wednesday,13955,All,13955,,,,,,,,,,
17,1529,18:38:32,10/25/2019,APNEA,10/25/2019 18:38:32,test12_Wednesday,13990,All,13990,,,,,,,,,,
*,532,18:38:54,10/25/2019,SWS1,10/25/2019 18:38:54,test12_Wednesday,14012,All,14012,,,,,,,,,,
*,533,18:39:26,10/25/2019,REM1,10/25/2019 18:39:26,test12_Wednesday,14044,All,14044,,,,,,,,,,
*,534,18:41:00,10/25/2019,REM2,10/25/2019 18:41:00,test12_Wednesday,14138.4,All,14138.4,,,,,,,,,,
*,536,18:45:04,10/25/2019,WAKE (from sleep),10/25/2019 18:45:04,test12_Wednesday,14382.2,All,14382.2,,,,,,,,,,
17,535,18:45:46,10/25/2019,Anticipatory HR Increase,10/25/2019 18:45:46,test12_Wednesday,14423.6,All,14423.6,,,,,,,,,,
*,537,18:45:50,10/25/2019,MVMT (from calm),10/25/2019 18:45:50,test12_Wednesday,14427.8,All,14427.8,,,,,,,,,,
*,538,18:48:05,10/25/2019,CALM (from motion),10/25/2019 18:48:05,test12_Wednesday,14563.4,All,14563.4,,,,,,,,,,
*,539,18:49:19,10/25/2019,MVMT (from calm),10/25/2019 18:49:19,test12_Wednesday,14636.8,All,14636.8,,,,,,,,,,
*,540,18:49:37,10/25/2019,CALM (from motion),10/25/2019 18:49:37,test12_Wednesday,14655.2,All,14655.2,,,,,,,,,,
17,541,18:49:50,10/25/2019,Last Breath,10/25/2019 18:49:50,test12_Wednesday,14668.2,All,14668.2,,,,,,,,,,
17,542,18:50:36,10/25/2019,APNEA,10/25/2019 18:50:36,test12_Wednesday,14714.2,All,14714.2,,,,,,,,,,
*,544,18:50:42,10/25/2019,SWS1,10/25/2019 18:50:42,test12_Wednesday,14720,All,14720,,,,,,,,,,
*,543,18:51:39,10/25/2019,SWS2,10/25/2019 18:51:39,test12_Wednesday,14777,All,14777,,,,,,,,,,
17,545,18:59:16,10/25/2019,Anticipatory HR Increase,10/25/2019 18:59:16,test12_Wednesday,15234.4,All,15234.4,,,,,,,,,,
17,547,18:59:24,10/25/2019,First Breath,10/25/2019 18:59:24,test12_Wednesday,15242,All,15242,,,,,,,,,,
*,546,18:59:29,10/25/2019,SWS1,10/25/2019 18:59:29,test12_Wednesday,15247,All,15247,,,,,,,,,,
*,548,19:01:00,10/25/2019,JOLT (from sleep),10/25/2019 19:01:00,test12_Wednesday,15338.2,All,15338.2,,,,,,,,,,
*,549,19:01:30,10/25/2019,SWS1,10/25/2019 19:01:30,test12_Wednesday,15368.4,All,15368.4,,,,,,,,,,
17,1530,19:03:47,10/25/2019,Last Breath,10/25/2019 19:03:47,test12_Wednesday,15505.4,All,15505.4,,,,,,,,,,
